"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2023/2024","4","240","52.67","45.41","51.05","46.28","48.99","10.71","9.63","2.68","2.41","1.16","0","9.9","11.9","2.48","2.98","226.63","217.3","56.66","54.32","141.95","164.79","35.49","41.2","117.73","122.6","29.43","30.65","110.98","9.1","92.15","101.25","7.55","94.16","45.73","75","89","18.75","22.25","67.18","32.82","69.32","30.68","51.95","56.42","12.67","11.09","6.03","1.22","6.92",""
"EHCK","2023/2024","4","240","41.66","50.24","49.77","50.49","46.83","9.57","13.4","2.39","3.35","1.16","0","11.51","11.4","2.88","2.85","239.13","241.37","59.78","60.34","159.78","156.68","39.94","39.17","103.94","118.01","25.99","29.5","120.12","9.21","88.65","97.85","5.99","91.45","51.19","86","82","21.5","20.5","74.03","25.97","65.29","34.71","43.47","48.89","11.71","11.4","6.45","6.35","4.35",""
"EVZ","2023/2024","4","240","47.86","57.15","54.92","55.85","56.1","8.85","9.64","2.21","2.41","2.18","1.16","12.14","9.1","3.03","2.28","261.8","214.88","65.45","53.72","170.32","134.64","42.58","33.66","133.28","104.28","33.32","26.07","119.17","6.64","90.75","97.39","5.2","92.84","57.23","95","71","23.75","17.75","65.95","34.05","66.5","33.5","50.91","48.53","11.94","13.36","5.71","24.9","6.17","6.35"
"GSHC","2023/2024","4","240","27.46","36.89","41.87","37.63","38.71","4.98","13.16","1.25","3.29","0","0","7.77","13.29","1.94","3.32","184","255.51","46","63.88","114.14","189.18","28.53","47.3","85.59","135.53","21.4","33.88","109.88","5.82","90.29","96.11","4.36","93.04","39.66","71","108","17.75","27","63.48","36.52","73.62","26.38","46.51","53.05","11.89","11.03","7.1","","5.57",""
"HCA","2023/2024","4","240","41.63","51.16","45.61","44.85","44.67","11.52","16.16","2.88","4.04","0","0","11.11","10.6","2.78","2.65","211.04","251.64","52.76","62.91","137.54","169.12","34.38","42.28","98.86","122.47","24.72","30.62","115.67","11.66","86.81","98.46","8.38","90.45","54.39","93","78","23.25","19.5","65.47","34.53","64.37","35.63","46.85","48.67","11.1","12.18","5.39","","6.49",""
"HCAP","2023/2024","4","240","59.99","50.98","49.41","50.39","52.65","13.08","8.73","3.27","2.18","0","1.18","11.29","10.86","2.82","2.71","229.47","234.97","57.37","58.74","164.45","161.89","41.11","40.47","121.06","108.89","30.27","27.22","116.11","10.81","91.99","102.79","7.96","94.61","45.83","77","91","19.25","22.75","66.24","33.76","65.88","34.12","52.76","46.34","12.69","11.93","5.98","","6.47","32.2"
"HCD","2023/2024","4","240","61.62","59.84","60.11","62.15","61.23","12.88","8.02","3.22","2.01","1","0","12.61","8.46","3.15","2.12","285.25","189.27","71.31","47.32","220.22","134.12","55.05","33.53","152.88","96.81","38.22","24.2","118.63","8.42","91.71","100.14","5.85","94.02","54.49","85","71","21.25","17.75","60.56","39.44","58.43","41.57","53.6","51.15","12.62","12.44","6.48","5.18","4.73",""
"HCFG","2023/2024","5","300","58.66","48.6","48.53","47.32","44.67","17.64","12.43","3.53","2.49","0","1.16","13.85","14.65","2.77","2.93","279.06","295.95","55.81","59.19","193.22","215.15","38.64","43.03","127.87","158.39","25.57","31.68","115","13.8","92.15","105.95","9.13","94.22","51.79","101","94","20.2","18.8","67.9","32.1","62.99","37.01","45.82","53.52","11.73","12.08","5.9","","6.65","26.5"
"HCL","2023/2024","3","180","57.41","51.19","51.06","54.21","52.3","8.3","6.16","2.77","2.05","1.16","1.16","9.85","9.4","3.28","3.13","176","168.72","58.67","56.24","126.27","106.64","42.09","35.55","92.08","83.99","30.7","28","114.91","9.02","92.67","101.68","6.57","94.23","48","72","78","24","26","65.71","34.29","70.17","29.83","52.32","49.78","10.8","10.6","7.17","26.5","5.18","1.22"
"LHC","2023/2024","5","300","64.28","58.8","59.28","60.12","63.07","17.74","9.85","3.55","1.97","0","1.94","18.34","12.85","3.67","2.57","360.54","247.61","72.11","49.52","261.26","173.28","52.25","34.66","206.22","120.77","41.24","24.15","121.63","8.6","91.84","100.44","6.79","94.31","57.96","131","95","26.2","19","65.75","34.25","70.35","29.65","57.2","48.77","11.83","11.43","5.24","","6.03","10.1"
