"Team name","Team","Season","GP","PTS","PTS/GP","TOI","Leading","Tied","Trailing","GF","GA","G±","GF_","GA_","G_±","GF_/60","GA_/60","EQ TOI","EQ GF","EQ GA","EQ G±","EQ GF/60","EQ GA/60","PP TOI","PP OP","PP%","PP GF","PP GA","PP G±","PP GF/60","SH TOI","SH SI","PK%","SH GF","SH GA","SH G±","SH GA/60","GF EN","GA EN","GF SO","GA SO","SH%","SV%","PDO","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spect. / GP","Spect. / GP - Home","Spect. / GP - Away"
"EHC Biel-Bienne","EHCB","2019/2020","50","78","1.56","3056.1","29.29","47.12","23.6","151","144","7","140","136","4","2.75","2.67","2494.5","96","101","-5","2.31","2.43","279","178","27.53","49","7","42","10.54","282.6","175","81.14","3","33","-30","7.01","8","5","3","3","9.92","91.29","101.21","1306","1497","46.59","4","194","2","5","2","488","6258","5696","6821"
"EV Zug","EVZ","2019/2020","50","90","1.8","3042.9","31.81","39.23","28.97","147","124","23","140","116","24","2.76","2.29","2468","99","85","14","2.41","2.07","289.4","187","19.79","37","1","36","7.67","285.6","176","79.55","7","36","-29","7.56","3","6","4","2","9.31","91.57","100.88","1523","1365","52.74","0","211","4","9","4","612","6686","6574","6798"
"Genève-Servette HC","GSHC","2019/2020","50","89","1.78","3037.3","37.21","33.25","29.54","140","116","24","127","111","16","2.51","2.19","2519.4","102","94","8","2.43","2.24","268","164","19.51","32","3","29","7.17","249.9","145","87.59","4","18","-14","4.32","11","4","2","1","8.67","92.42","101.09","1432","1225","53.9","3","161","4","7","6","532","6451","5801","7102"
"HC Ambri-Piotta","HCAP","2019/2020","50","63","1.26","3048.8","28.94","38.38","32.67","120","136","-16","111","123","-12","2.18","2.42","2429.2","71","98","-27","1.75","2.42","287.8","176","21.59","38","5","33","7.92","331.8","197","85.79","8","28","-20","5.06","6","8","3","5","7.48","91.68","99.16","1419","1510","48.45","2","228","4","16","4","716","5914","4996","6833"
"HC Davos","HCD","2019/2020","50","89","1.78","3045.5","36.67","36.13","27.2","159","142","17","153","134","19","3.01","2.64","2462.1","119","96","23","2.9","2.34","321","196","17.35","34","6","28","6.36","262.4","168","76.79","2","39","-37","8.92","2","7","4","1","10.64","91.39","102.03","1482","1489","49.88","0","186","1","6","1","457","5786","4444","7129"
"HC Fribourg-Gottéron","HCFG","2019/2020","50","73","1.46","3043.6","27.78","40.13","32.09","122","136","-14","107","129","-22","2.11","2.54","2514.6","87","99","-12","2.08","2.36","254","157","18.47","29","3","26","6.85","275","170","80","3","34","-31","7.42","12","7","3","0","7.62","91.86","99.47","1278","1491","46.15","0","178","2","8","3","506","6429","5935","6923"
"HC Lugano","HCL","2019/2020","50","69","1.38","3030.9","35.07","35.42","29.5","125","139","-14","113","126","-13","2.24","2.49","2524","89","99","-10","2.12","2.35","249.7","154","18.83","29","7","22","6.97","257.2","161","81.37","6","30","-24","7","11","10","1","3","8.09","90.78","98.86","1425","1421","50.07","3","177","0","5","0","404","6216","5679","6753"
"Lausanne HC","LHC","2019/2020","50","75","1.5","3034.2","32.68","38.65","28.67","136","131","5","125","120","5","2.47","2.37","2489.2","102","87","15","2.46","2.1","271.2","160","16.88","27","4","23","5.97","273.8","167","77.25","5","38","-33","8.33","9","9","2","2","8.57","91.52","100.09","1349","1318","50.58","2","186","4","10","4","572","7588","8206","6970"
"SC Bern","SCB","2019/2020","50","68","1.36","3055.8","28.53","42.82","28.65","131","142","-11","126","130","-4","2.47","2.55","2546","99","106","-7","2.33","2.5","265.8","159","17.61","28","6","22","6.32","243.9","148","83.11","3","25","-22","6.15","4","7","1","5","8.35","91.32","99.67","1407","1402","50.09","2","168","1","9","2","471","10912","15588","6237"
"SC Rapperswil-Jona Lakers","SCRJ","2019/2020","50","52","1.04","3035.4","24.6","31.08","44.32","129","161","-32","124","150","-26","2.45","2.97","2504.3","91","117","-26","2.18","2.8","262.9","164","18.29","30","7","23","6.85","268.2","161","78.26","6","35","-29","7.83","3","9","2","2","8.74","90.23","98.98","1455","1507","49.12","5","176","4","9","4","542","5347","4050","6645"
"SCL Tigers","SCLT","2019/2020","50","63","1.26","3052.4","23.67","42.17","34.17","117","148","-31","110","140","-30","2.16","2.75","2478.6","86","97","-11","2.08","2.35","280.4","167","14.97","25","3","22","5.35","293.4","190","76.84","3","44","-41","9","4","4","3","4","7.47","90.44","97.92","1280","1357","48.54","4","212","0","8","0","504","6134","5549","6720"
"ZSC Lions","ZSC","2019/2020","50","91","1.82","3034.8","34.98","33.2","31.82","166","124","42","158","119","39","3.12","2.35","2478.3","122","84","38","2.95","2.03","275.6","174","22.41","39","2","37","8.49","280.9","178","79.21","4","37","-33","7.9","7","4","1","1","9.18","91.39","100.57","1570","1344","53.88","2","201","1","8","1","507","7769","8975","6562"
