"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2021/2022","51","3068.98","54.24","55.75","52.85","53.5","53.15","142.9","120.54","2.79","2.36","8.64","4.12","139.5","110.72","2.73","2.16","2976.56","2655.86","58.19","51.92","2194.2","1907.25","42.9","37.29","1581.8","1394.51","30.92","27.26","110.12","9.03","91.36","100.39","6.51","93.68","56.31","959","744","18.75","14.55","68.72","31.28","64.18","35.82","53.14","52.51","11.73","12.37","6.78","18.11","6.09","15.1"
"EVZ","2021/2022","52","3126.42","57.28","52.12","52.35","51.96","52.67","159.67","119.1","3.06","2.29","2.68","3.68","141.56","130.07","2.72","2.5","3172.18","2887.78","60.88","55.42","2238.71","2069.44","42.96","39.72","1682.85","1512.39","32.3","29.02","116.3","9.49","92.13","101.61","7.13","94.24","52.48","953","863","18.29","16.56","66.33","33.67","64.69","35.31","53.05","52.37","11.99","12.26","6.32","30.4","6.53","32.66"
"GSHC","2021/2022","52","3128.23","53.43","52.62","53.53","53.78","52.85","139.62","121.71","2.68","2.33","7.01","2.88","139.27","125.41","2.67","2.41","3188.86","2768.2","61.16","53.09","2275.7","1956.05","43.65","37.52","1602.31","1429.48","30.73","27.42","114.26","8.71","91.49","100.2","6.14","93.78","51.7","911","851","17.47","16.32","56.75","43.25","64.7","35.3","50.25","51.64","12.18","12.13","5.69","24.75","6.78","26.21"
"HCA","2021/2022","51","3064.25","28.13","35.82","38.33","36.92","36.25","82.42","210.54","1.61","4.12","1.88","8.42","93.89","168.22","1.84","3.29","2374.37","3819.81","46.49","74.79","1616.83","2762.82","31.66","54.1","1158.12","2036.85","22.68","39.88","121.29","7.12","89.66","96.78","5.1","92.38","35.24","629","1156","12.32","22.64","65.8","34.2","64.53","35.47","48.78","53.32","12.82","11.88","6.86","30.46","5.96","27.4"
"HCAP","2021/2022","52","3122.73","47.96","52.75","51.19","51.05","51.08","126.33","137.1","2.43","2.63","3.51","6.03","136.6","122.36","2.62","2.35","3120.59","2975.5","59.96","57.17","2143.29","2055.2","41.18","39.49","1586.88","1520.07","30.49","29.21","117.13","7.96","90.98","98.94","5.89","93.33","52.2","900","824","17.29","15.83","62.19","37.81","63.75","36.25","50.85","51.09","12.36","12.53","6.73","20.17","6.43","7.13"
"HCD","2021/2022","51","3063.9","54.81","51.32","49.01","49.71","48.98","142.84","117.75","2.8","2.31","3.1","4.12","126.16","119.66","2.47","2.34","2902.74","3019.57","56.84","59.13","2115.91","2141","41.44","41.93","1506.36","1569.39","29.5","30.73","115.98","9.48","92.5","101.98","6.75","94.5","52.75","910","815","17.82","15.96","63.21","36.79","63.64","36.36","51.89","51.97","12.22","12.5","6.54","9.5","6.42","16.21"
"HCFG","2021/2022","50","3006.83","56.63","51.98","49.9","50.53","50.79","150.75","115.47","3.01","2.3","7.97","5.06","122.22","112.9","2.44","2.25","2809.85","2820.63","56.07","56.28","1991.5","1950","39.74","38.91","1485.35","1439.23","29.64","28.72","112.35","10.15","91.98","102.13","7.57","94.08","50.46","775","761","15.46","15.19","65.98","34.02","60.69","39.31","52.86","51.03","12.17","12.71","6.73","16.71","6.81","12.16"
"HCL","2021/2022","52","3126.17","49.18","52.9","53.41","53.51","53.87","147.82","152.74","2.84","2.93","9.25","2","146.49","130.44","2.81","2.5","3336.22","2910.75","64.03","55.87","2427.27","2108.92","46.59","40.48","1803.73","1544.79","34.62","29.65","119.9","8.2","90.11","98.31","6.09","92.76","51.47","908","856","17.43","16.43","65.55","34.45","65.14","34.86","54.07","53.07","12.55","12.18","6.46","15.6","6.57","24.74"
"LHC","2021/2022","51","3065.1","52.84","51.78","53.53","53.35","54.19","149.48","133.4","2.93","2.61","5","5.27","122.04","113.64","2.39","2.22","3124.66","2712.05","61.17","53.09","2171.37","1898.33","42.5","37.16","1600.03","1352.41","31.32","26.47","114.25","9.34","90.14","99.48","6.88","92.97","51.39","832","787","16.29","15.41","62.39","37.61","62.84","37.16","51.21","49.87","12.48","12.55","6.36","13.4","7.01","37.31"
"SCB","2021/2022","52","3132.13","49.85","46.92","46.61","47.25","47.95","132.55","133.35","2.54","2.55","1","10.85","124.71","141.06","2.39","2.7","2935.82","3363.46","56.24","64.43","2091.9","2335.44","40.07","44.74","1537.26","1668.84","29.45","31.97","120.67","8.62","92.01","100.63","6.34","94.29","47.35","868","965","16.63","18.49","62.55","37.45","63.39","36.61","52.36","49.62","12.16","12.4","6.64","23.28","6.01","13.73"
"SCLT","2021/2022","50","3002.72","39.05","40.75","45.38","44.33","44.9","122.73","191.55","2.45","3.83","3.28","8.54","103.66","150.74","2.07","3.01","2733.15","3289.49","54.61","65.73","1925.32","2417.45","38.47","48.31","1397.51","1715.24","27.92","34.27","120.34","8.78","88.83","97.61","6.37","92.08","42.28","731","998","14.61","19.94","67.71","32.29","65.83","34.17","51.13","52.14","12.72","11.68","6.77","14.19","6.76","28.35"
"SCRJ","2021/2022","52","3127.1","54.52","53.4","50.91","50.62","51.55","146.92","122.54","2.82","2.35","15.04","11.79","138.43","120.78","2.66","2.32","2917.29","2812.88","55.97","53.97","2064.81","2014.48","39.62","38.65","1540.62","1447.76","29.56","27.78","109.95","9.54","91.54","101.07","7.12","93.92","54.83","948","781","18.19","14.99","63.82","36.18","63.8","36.2","52.81","51.47","11.76","12.3","6.15","31.52","6.83","17.67"
"ZSC","2021/2022","52","3121.8","55.82","52.25","53.69","54.24","52.32","152.34","120.58","2.93","2.32","9.64","5.22","133.5","122.02","2.57","2.35","3224.3","2780.61","61.97","53.44","2300.27","1940.69","44.21","37.3","1674.03","1525.85","32.17","29.33","115.41","9.1","92.1","101.2","6.62","93.79","52.17","924","847","17.76","16.28","64.08","35.92","66.58","33.42","51.92","54.87","12.41","12.13","6.91","19.5","6.85","26.23"
