"Team name","Team","Season","GP","PTS","PTS/GP","TOI","Leading","Tied","Trailing","GF","GA","G±","GF_","GA_","G_±","GF_/60","GA_/60","EQ TOI","EQ GF","EQ GA","EQ G±","EQ GF/60","EQ GA/60","PP TOI","PP OP","PP%","PP GF","PP GA","PP G±","PP GF/60","SH TOI","SH SI","PK%","SH GF","SH GA","SH G±","SH GA/60","GF EN","GA EN","GF SO","GA SO","SH%","SV%","PDO","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spect. / GP","Spect. / GP - Home","Spect. / GP - Away"
"EHC Biel-Bienne","EHCB","2022/2023","52","101","1.94","3146.6","42.15","30.19","27.66","174","132","42","167","127","40","3.18","2.42","2636.2","136","100","36","3.1","2.28","251.6","158","22.15","35","1","34","8.35","258.9","172","82.56","1","30","-29","6.95","5","4","2","1","11.66","91.62","103.28","1369","1379","49.82","1","192","5","0","5","509","6462","5843","7081"
"EHC Kloten","EHCK","2022/2023","52","73","1.4","3162.2","29.94","32.54","37.52","140","173","-33","131","162","-31","2.49","3.07","2564.8","84","122","-38","1.97","2.85","295.2","187","24.6","46","3","43","9.35","302.2","192","76.56","6","45","-39","8.94","5","8","4","3","8.82","90.5","99.31","1437","1524","48.53","1","224","2","0","2","498","6551","6109","6993"
"EV Zug","EVZ","2022/2023","52","82","1.58","3159.5","28.76","33.7","37.53","165","154","11","153","143","10","2.91","2.72","2658.6","111","109","2","2.51","2.46","279.4","183","26.23","48","4","44","10.31","221.5","143","72.73","2","39","-37","10.56","8","9","4","2","9.16","89.43","98.59","1492","1388","51.81","0","158","2","0","2","366","6984","6975","6992"
"Genève-Servette HC","GSHC","2022/2023","52","101","1.94","3159.5","41.56","33.85","24.58","185","140","45","168","134","34","3.19","2.54","2605.5","129","97","32","2.97","2.23","258.5","167","28.14","47","4","43","10.91","295.5","178","79.21","6","37","-31","7.51","14","4","3","2","11","90.74","101.74","1457","1321","52.45","3","212","5","0","5","549","6613","6264","6962"
"HC Ajoie","HCA","2022/2023","52","48","0.92","3157.9","19.57","33.33","47.11","120","192","-72","113","178","-65","2.15","3.38","2612.8","94","141","-47","2.16","3.24","274.1","156","14.74","23","7","16","5.03","271.1","167","74.85","2","42","-40","9.3","6","12","1","2","8.43","90.42","98.85","1396","1447","49.1","5","191","7","0","6","537","5583","4222","6943"
"HC Ambri-Piotta","HCAP","2022/2023","52","66","1.27","3173.7","27.36","32.59","40.05","151","163","-12","143","152","-9","2.7","2.87","2630.1","106","122","-16","2.42","2.78","251.3","164","22.56","37","4","33","8.83","292.2","180","80.56","6","35","-29","7.19","6","9","2","2","9.24","90.83","100.08","1401","1666","45.68","3","218","5","0","6","581","6939","6480","7398"
"HC Davos","HCD","2022/2023","52","83","1.6","3199.7","28.83","36.48","34.69","149","138","11","139","126","13","2.61","2.36","2653.4","102","110","-8","2.31","2.49","266.3","164","21.95","36","2","34","8.11","280","155","88.39","6","18","-12","3.86","5","4","5","8","8.66","91.67","100.32","1464","1455","50.15","4","183","2","1","2","426","6207","4978","7436"
"HC Fribourg-Gottéron","HCFG","2022/2023","52","81","1.56","3161.8","38.38","31.6","30.02","155","136","19","145","122","23","2.75","2.32","2642.5","102","95","7","2.32","2.16","296.4","190","26.84","51","3","48","10.33","222.9","133","75.19","1","33","-32","8.88","9","9","1","5","8.78","90.7","99.48","1428","1381","50.84","1","149","3","0","2","353","8021","8922","7119"
"HC Lugano","HCL","2022/2023","52","72","1.38","3150.2","37.77","32.12","30.12","147","163","-16","134","150","-16","2.55","2.86","2600.1","109","110","-1","2.52","2.54","257","161","16.77","27","5","22","6.3","293","190","75.26","7","47","-40","9.62","9","12","4","1","7.7","89.9","97.6","1468","1424","50.76","1","216","4","0","4","532","6026","5026","7026"
"Lausanne HC","LHC","2022/2023","52","71","1.37","3165.2","31.34","36.12","32.54","139","160","-21","128","153","-25","2.43","2.9","2585","105","109","-4","2.44","2.53","266.3","157","16.56","26","2","24","5.86","313.9","195","75.9","4","47","-43","8.98","7","5","4","2","7.52","90.4","97.92","1441","1438","50.05","3","218","7","0","5","571","6925","7099","6751"
"SC Bern","SCB","2022/2023","52","74","1.42","3172.3","32.06","34.24","33.7","150","158","-8","143","142","1","2.7","2.69","2633.8","108","108","0","2.46","2.46","302.2","187","21.39","40","7","33","7.94","236.2","155","75.48","2","38","-36","9.65","7","11","0","5","8.32","90.91","99.23","1355","1466","48.03","1","186","5","1","4","487","10706","14750","6662"
"SC Rapperswil-Jona Lakers","SCRJ","2022/2023","52","92","1.77","3157.9","40.84","36.34","22.82","183","133","50","169","125","44","3.21","2.37","2626.6","136","99","37","3.11","2.26","283.1","178","23.03","41","3","38","8.69","248.2","158","81.65","2","29","-27","7.01","10","6","4","2","11.37","91.26","102.64","1443","1344","51.78","1","174","6","0","7","518","6022","4956","7088"
"SCL Tigers","SCLT","2022/2023","52","60","1.15","3152.3","29.43","33","37.57","124","167","-43","119","155","-36","2.27","2.95","2578.1","95","115","-20","2.21","2.68","270.6","161","14.91","24","7","17","5.32","303.6","180","76.67","5","42","-37","8.3","5","9","0","3","9.19","91.54","100.73","1428","1476","49.17","2","199","6","0","5","528","5939","4991","6888"
"ZSC Lions","ZSC","2022/2023","52","88","1.69","3160.7","34.86","38.38","26.76","150","123","27","138","121","17","2.62","2.3","2549.7","101","81","20","2.38","1.91","299.2","180","22.22","40","2","38","8.02","311.8","195","80","4","39","-35","7.5","7","1","5","1","8.53","92.2","100.74","1580","1450","52.15","1","223","4","1","2","516","9099","11459","6738"
