"Goaltender","Team","Season","League","Age","Licence","GP","TOI","GA","SVS","SA","SV%","GSAA","SV%+","GAA","SO","BtB","G1","G2","%start","OUT","IN","%OUT","PIM"
Larisch Yannick,ZSC,2022/2023,National League,17,CH,1,0,0,0,0,,0,,,0,0,0,1,0,0,0,,0
Morf Jannis,EHCK,2022/2023,National League,18,CH,1,0,0,0,0,,0,,,0,0,0,1,0,0,0,,0
Patenaude Noah,HCAP/HCA,2022/2023,National League,20,CH,11,0,0,0,0,,0,,,0,0,0,11,0,0,0,,0
Riesen Niels,EHCK,2022/2023,National League,19,CH,3,0,0,0,0,,0,,,0,0,0,3,0,0,0,,0
Ruppelt Sascha,ZSC,2022/2023,National League,21,CH,6,0,0,0,0,,0,,,0,0,0,6,0,0,0,,0
Simeoni Diego,EHCB,2022/2023,National League,17,CH,5,0.87,0,0,0,,0,,0,0,0,0,5,0,0,1,,0
Simmchen Santo,HCD,2022/2023,National League,17,CH,1,0,0,0,0,,0,,,0,0,0,1,0,0,0,,0
Stacher Jari,SCRJ,2022/2023,National League,18,CH,4,0.48,0,0,0,,0,,0,0,0,0,4,0,0,1,,0
Stettler Damian,SCLT,2022/2023,National League,21,CH,3,0,0,0,0,,0,,,0,0,0,3,0,0,0,,0
Terrier Robin,HCFG,2022/2023,National League,19,CH,1,0,0,0,0,,0,,,0,0,0,1,0,0,0,,0
Titocci Yannick,HCAP,2022/2023,National League,19,CH,2,0,0,0,0,,0,,,0,0,0,2,0,0,0,,0
Uberti Loris,LHC,2022/2023,National League,18,CH,4,0,0,0,0,,0,,,0,0,0,4,0,0,0,,0
Wyss Nick,EHCB,2022/2023,National League,20,CH,6,0,0,0,0,,0,,,0,0,0,6,0,0,0,,0
Zaetta Valentino,EVZ,2022/2023,National League,18,CH,4,0,0,0,0,,0,,,0,0,0,4,0,0,0,,0
