"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000327' target='_blank'>2021-04-15</a>,National League,GSHC,HCFG,home,Playoffs,Patrick Emond,Christian Dubé,,3,69.33,30.67,0,60,3,1,2,53.6,2,1,1,3,33.33,3.7,1,0,1,2,100,2.7,0,0,0,6.06,97.06,103.12,49,71,40.83,35,43,44.87,34,34,50,1,0,14,8,1,28,25,29,46.3,0,4,0,0,0,8,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000323' target='_blank'>2021-04-13</a>,National League,GSHC,HCFG,away,Playoffs,Patrick Emond,Christian Dubé,,0,0,31.64,68.36,60,1,2,-1,54.4,1,2,-1,2,0,0.8,0,0,0,4,100,4.8,0,0,0,4.17,94.29,98.45,55,72,43.31,29,43,40.28,24,35,40.68,4,1,26,6,2,29,19,23,45.24,0,4,0,0,0,8,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000032' target='_blank'>2021-04-05</a>,National League,GSHC,HCL,home,Regular Season,Patrick Emond,Serge Pelletier,,3,94.97,5.03,0,60,5,2,3,46.7,4,1,3,3,33.33,2.2,1,0,1,7,85.71,11.1,0,1,-1,20,94.29,114.29,53,68,43.8,45,52,46.39,25,35,41.67,19,1,8,15,2,16,29,30,49.15,0,7,0,0,0,14,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000027' target='_blank'>2021-04-03</a>,National League,GSHC,EHCB,home,Regular Season,Patrick Emond,Lars Leuenberger,,0,65.56,30.58,3.86,60,1,5,-4,49.3,1,4,-3,3,0,6,0,0,0,4,75,4.7,0,1,-1,3.33,87.1,90.43,59,46,56.19,41,36,53.25,30,32,48.39,9,2,18,4,0,10,21,25,45.65,0,4,0,0,0,8,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000022' target='_blank'>2021-04-01</a>,National League,GSHC,LHC,away,Regular Season,Patrick Emond,Craig MacTavish,,3,82,18,0,60,5,1,4,51.6,4,1,3,4,25,6.4,1,0,1,1,100,2,0,0,0,19.23,96.3,115.53,48,65,42.48,35,41,46.05,26,27,49.06,9,0,13,14,0,24,29,20,59.18,0,3,0,1,0,16,1
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000009' target='_blank'>2021-03-27</a>,National League,GSHC,HCFG,home,Regular Season,Patrick Emond,Christian Dubé,,0,0,3.78,96.22,60,2,3,-1,48.2,1,3,-2,4,25,7.8,1,0,1,2,100,4,0,0,0,5.41,66.67,72.07,83,29,74.11,57,16,78.08,37,9,80.43,19,1,26,7,0,13,24,23,51.06,0,3,0,1,0,16,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000042' target='_blank'>2021-03-24</a>,National League,GSHC,EVZ,away,Regular Season,Patrick Emond,Dan Tangnes,,0,21.86,40.31,37.83,60,1,2,-1,45.6,1,0,1,6,0,10.2,0,0,0,4,50,4.2,0,2,-2,2.63,86.67,89.3,68,29,70.1,49,23,68.06,38,15,71.7,11,0,19,8,0,6,22,37,37.29,0,5,0,1,0,20,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000147' target='_blank'>2021-03-23</a>,National League,GSHC,LHC,home,Regular Season,Patrick Emond,Craig MacTavish,,0,44.36,22.03,33.61,60,2,3,-1,50.2,2,2,0,4,0,7.2,0,0,0,2,50,2.7,0,1,-1,6.67,89.66,96.32,50,52,49.02,40,43,48.19,30,29,50.85,9,1,10,12,2,9,33,29,53.23,0,3,0,0,0,6,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000166' target='_blank'>2021-03-20</a>,National League,GSHC,SCLT,away,Regular Season,Patrick Emond,Rikard Franzén,OT,2,0,69.54,30.46,63.3,4,3,1,52.4,4,2,2,2,0,4,0,0,0,4,75,6.9,0,1,-1,11.11,90,101.11,66,48,57.89,48,36,57.14,36,30,54.55,11,1,18,6,0,12,26,32,44.83,0,4,0,0,0,8,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000160' target='_blank'>2021-03-18</a>,National League,GSHC,SCB,home,Regular Season,Patrick Emond,Mario Kogler,,0,0,22.81,77.19,60,3,4,-1,50,3,3,0,3,0,6,0,1,-1,2,100,4,0,0,0,6.82,87.1,93.91,77,44,63.64,50,36,58.14,44,31,58.67,6,0,27,4,1,8,37,31,54.41,0,2,0,1,1,34,0
