"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000246' target='_blank'>2023-01-06</a>,National League,EHCK,EHCB,away,Regular Season,Tomlinson Jeff,Antti Törmänen,OT,1,36.14,63.86,0,60.7,4,5,-1,54,2,4,-2,4,50,4.6,2,0,2,2,50,2.1,0,1,-1,12.12,86.84,98.96,54,67,44.63,40,54,42.55,33,38,46.48,6,1,14,14,2,13,32,29,52.46,0,3,0,0,0,6,6241
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000242' target='_blank'>2023-01-02</a>,National League,EHCK,HCFG,home,Regular Season,Tomlinson Jeff,Christian Dubé,OT,1,84.59,15.41,0,64.4,2,3,-1,54.1,1,2,-1,3,33.33,4.8,1,0,1,3,66.67,5.5,0,1,-1,9.52,93.33,102.86,51,75,40.48,27,58,31.76,21,45,31.82,4,2,24,12,1,17,37,25,59.68,0,3,0,0,0,6,7287
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000235' target='_blank'>2022-12-23</a>,National League,EHCK,HCL,home,Regular Season,Tomlinson Jeff,Luca Gianinazzi,,3,86.11,13.89,0,60,6,3,3,44.5,4,2,2,6,33.33,7.8,2,0,2,5,80,7.8,0,1,-1,17.86,93.62,111.47,52,69,42.98,42,57,42.42,29,47,38.16,13,0,10,8,2,12,23,36,38.98,0,5,1,0,1,35,6578
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000226' target='_blank'>2022-12-22</a>,National League,EHCK,SCB,away,Regular Season,Tomlinson Jeff,Toni Söderholm,,0,31.64,19.56,48.81,60,2,5,-3,48.8,1,4,-3,2,50,3.1,1,0,1,5,80,8.1,0,1,-1,5.13,87.88,93.01,72,51,58.54,51,37,57.95,39,34,53.42,12,0,21,3,0,14,36,30,54.55,0,5,0,0,0,10,14204
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000221' target='_blank'>2022-12-20</a>,National League,EHCK,HCA,home,Regular Season,Tomlinson Jeff,Julien Vauclair,,3,92.28,7.72,0,60,5,3,2,45.9,3,1,2,4,50,4.2,2,1,1,6,83.33,9.9,0,1,-1,16,89.66,105.66,48,61,44.04,37,45,45.12,26,29,47.27,10,1,11,15,1,16,32,29,52.46,0,6,0,0,0,12,5042
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000207' target='_blank'>2022-12-10</a>,National League,EHCK,GSHC,home,Regular Season,Tomlinson Jeff,Jan Cadieux,,3,86.22,13.78,0,60,3,0,3,47.6,1,0,1,4,50,6.4,2,0,2,3,100,6,0,0,0,11.11,100,111.11,42,73,36.52,37,57,39.36,27,41,39.71,8,2,5,14,2,16,14,36,28,0,5,0,0,0,10,5484
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000203' target='_blank'>2022-12-09</a>,National League,EHCK,ZSC,away,Regular Season,Tomlinson Jeff,Rikard Grönborg,,0,2.17,45.47,52.36,60,1,3,-2,38.9,0,2,-2,6,16.67,10.2,1,0,1,6,83.33,11,0,1,-1,3.7,95,98.7,48,68,41.38,35,51,40.7,27,41,39.71,8,0,13,8,2,17,31,33,48.44,0,7,0,0,0,14,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000187' target='_blank'>2022-12-04</a>,National League,EHCK,SCRJ,away,Regular Season,Tomlinson Jeff,Stefan Hedlund,,3,87.14,12.86,0,60,4,1,3,48.5,4,0,4,3,0,4.1,0,0,0,4,75,7.4,0,1,-1,12.5,97.22,109.72,55,66,45.45,35,52,40.23,25,36,40.98,10,0,20,15,1,14,23,29,44.23,0,5,1,0,1,35,5948
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000193' target='_blank'>2022-12-03</a>,National League,EHCK,HCD,home,Regular Season,Tomlinson Jeff,Christian Wohlwend,,0,0,3,97,60,1,5,-4,48.5,1,4,-3,4,0,7.4,0,0,0,3,66.67,4.1,0,1,-1,2.86,85.29,88.15,52,62,45.61,39,48,44.83,35,34,50.72,4,0,13,12,2,14,25,27,48.08,0,3,0,0,0,6,7268
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000176' target='_blank'>2022-11-29</a>,National League,EHCK,HCA,away,Regular Season,Tomlinson Jeff,Filip Pesan,OT,2,0,66.96,33.04,60.3,2,1,1,56.3,2,1,1,1,0,2,0,0,0,1,100,2,0,0,0,6.06,96.3,102.36,68,56,54.84,41,39,51.25,33,27,55,7,1,27,12,0,17,18,30,37.5,0,1,0,0,0,2,3373
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000171' target='_blank'>2022-11-26</a>,National League,EHCK,GSHC,home,Regular Season,Tomlinson Jeff,Jan Cadieux,,0,0,58.89,41.11,60,1,3,-2,45.3,1,2,-1,3,0,9,0,0,0,3,66.67,5.7,0,1,-1,3.23,91.3,94.53,59,42,58.42,41,33,55.41,31,24,56.36,9,1,18,8,1,9,31,27,53.45,0,4,0,0,0,8,6142
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000167' target='_blank'>2022-11-25</a>,National League,EHCK,SCLT,away,Regular Season,Tomlinson Jeff,Thierry Paterlini,,0,76.53,4.53,18.94,60,1,2,-1,44.2,0,2,-2,2,0,3.9,0,0,0,6,100,11.9,1,0,1,3.57,93.75,97.32,56,62,47.46,40,51,43.96,28,32,46.67,12,0,16,15,4,11,29,33,46.77,0,7,0,0,0,14,5034
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000111' target='_blank'>2022-11-22</a>,National League,EHCK,LHC,away,Regular Season,Tomlinson Jeff,Geoff Ward,,3,1.44,98.56,0,60,1,0,1,46.3,1,0,1,4,0,8,0,0,0,3,100,5.7,0,0,0,2.63,100,102.63,61,63,49.19,45,45,50,38,30,55.88,7,0,16,13,2,18,20,27,42.55,0,5,0,0,0,10,5520
