Date,League,Team,Opp.,Phase,Coach,Opp. coach,OT/SO,PTS,Leading%,Tied%,Trailing%,TOI,GF,GA,G±,EQ TOI,EQ GF,EQ GA,EQ G±,PP OP,PP%,PP TOI,PP GF,PP GA,PP G±,SH SI,PK%,SH TOI,SH GF,SH GA,SH G±,SH%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spectators,MatchID,Outcome,Moneyline,H1-1.5,H1-2.5,H2-1.5,H2+1.5,H2+2.5,TG,Both2Goals,OU4.5,OU5.5,OU6.5,OU7.5
2018-09-22,National League,LHC,EHCB,Regular Season,Ville Peltonen,Antti Törmänen,,0.0,22.36,63.47,14.17,60.0,1,4,-3,41.6,0,4.0,-4.0,4.0,0.0,6.4,0,0.0,0.0,6.0,100.0,12.0,1,0,1,4.0,92.31,96.31,61.0,54,53.04,47,45.0,51.09,25,28,47.17,22.0,0.0,14.0,17,0,9.0,27,14,65.85,0,6,0,1,0.0,22.0,6700.0,20191105000011,-1,0,0,0,1,1,1,5,0,1,0,0,0
2018-09-25,National League,LHC,GSHC,Regular Season,Ville Peltonen,Chris McSorley,,3.0,41.08,58.92,0.0,60.0,4,2,2,48.9,3,1.0,2.0,4.0,25.0,7.8,1,0.0,1.0,2.0,50.0,3.3,0,1,-1,6.52,92.31,98.83,71.0,54,56.8,61,41.0,59.8,47,26,64.38,13.0,1.0,10.0,15,0,13.0,28,19,59.57,0,2,0,0,0.0,4.0,6333.0,20191105000017,1,1,1,0,0,0,1,6,1,1,1,0,0
2018-09-25,National League,HCD,SCRJ,Regular Season,Arno Del Curto,Jeff Tomlinson,,3.0,94.61,5.39,0.0,60.0,2,0,2,48.0,2,0.0,2.0,4.0,0.0,8.0,0,0.0,0.0,2.0,100.0,4.0,0,0,0,5.41,100.0,105.41,73.0,43,62.93,52,33.0,61.18,37,23,61.67,15.0,0.0,21.0,10,0,10.0,39,33,54.17,0,2,0,0,0.0,4.0,3271.0,20191105000015,1,1,1,0,0,0,1,2,0,0,0,0,0
2018-09-25,National League,HCFG,EVZ,Regular Season,Mark French,Dan Tangnes,,0.0,0.0,12.42,87.58,60.0,3,6,-3,50.0,3,4.0,-1.0,3.0,0.0,6.0,0,0.0,0.0,4.0,50.0,4.0,0,2,-2,9.38,78.26,87.64,72.0,40,64.29,50,34.0,59.52,32,24,57.14,17.0,1.0,22.0,10,0,6.0,29,18,61.7,0,3,0,0,0.0,6.0,5402.0,20191105000016,-1,0,0,0,1,1,1,9,1,1,1,1,1
2018-09-25,National League,ZSC,SCLT,Regular Season,Serge Aubin,Heinz Ehlers,,0.0,0.0,10.92,89.08,60.0,1,4,-3,50.0,1,4.0,-3.0,2.0,0.0,4.0,0,0.0,0.0,3.0,100.0,6.0,0,0,0,3.57,80.0,83.57,53.0,59,47.32,44,38.0,53.66,28,20,58.33,14.0,2.0,9.0,17,1,21.0,26,16,61.9,0,3,0,0,0.0,6.0,8203.0,20191105000018,-1,0,0,0,1,1,1,5,0,1,0,0,0
2018-09-25,National League,SCB,HCL,Regular Season,Kari Jalonen,Greg Ireland,,3.0,83.19,16.81,0.0,60.0,4,0,4,45.0,4,0.0,4.0,5.0,0.0,7.0,0,0.0,0.0,4.0,100.0,8.0,0,0,0,7.69,100.0,107.69,67.0,46,59.29,53,31.0,63.1,40,21,65.57,13.0,0.0,14.0,10,0,15.0,24,22,52.17,0,4,0,0,0.0,8.0,16025.0,20191105000014,1,1,1,1,0,0,0,4,0,0,0,0,0
2018-09-25,National League,HCAP,EHCB,Regular Season,Luca Cereda,Antti Törmänen,,0.0,0.0,14.89,85.11,60.0,1,5,-4,50.0,1,4.0,-3.0,1.0,0.0,2.0,0,0.0,0.0,4.0,75.0,8.0,0,1,-1,4.0,84.38,88.38,57.0,65,46.72,37,48.0,43.53,25,32,43.86,12.0,0.0,20.0,14,2,17.0,30,23,56.6,0,6,0,0,0.0,12.0,4315.0,20191105000013,-1,0,0,0,1,1,1,6,0,1,1,0,0
2018-09-28,National League,SCRJ,SCB,Regular Season,Jeff Tomlinson,Kari Jalonen,,0.0,0.0,17.06,82.94,60.0,1,5,-4,54.4,1,4.0,-3.0,1.0,0.0,2.0,0,0.0,0.0,2.0,50.0,3.6,0,1,-1,5.56,89.8,95.35,46.0,73,38.66,24,65.0,26.97,18,49,26.87,6.0,0.0,22.0,13,3,8.0,26,42,38.24,0,2,0,0,0.0,4.0,4019.0,20191105000021,-1,0,0,0,1,1,1,6,0,1,1,0,0
2018-09-28,National League,GSHC,ZSC,Regular Season,Chris McSorley,Serge Aubin,,3.0,82.75,17.25,0.0,60.0,2,1,1,54.3,1,0.0,1.0,1.0,100.0,1.3,1,0.0,1.0,3.0,66.67,4.4,0,1,-1,6.25,96.67,102.92,52.0,57,47.71,40,41.0,49.38,32,30,51.61,8.0,0.0,12.0,10,1,16.0,28,31,47.46,0,3,0,0,0.0,6.0,5023.0,20191105000020,1,1,0,0,0,1,1,3,0,0,0,0,0
2018-09-28,National League,HCL,LHC,Regular Season,Greg Ireland,Ville Peltonen,,3.0,60.67,39.33,0.0,60.0,4,3,1,51.0,4,1.0,3.0,2.0,0.0,2.8,0,0.0,0.0,5.0,60.0,6.2,0,2,-2,12.12,92.31,104.43,57.0,77,42.54,43,59.0,42.16,33,39,45.83,10.0,0.0,14.0,19,1,18.0,19,36,34.55,0,5,0,0,0.0,10.0,5890.0,20191105000022,1,1,0,0,0,1,1,7,1,1,1,1,0
