"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000184' target='_blank'>2021-12-04</a>,National League,EVZ,SCLT,away,Regular Season,Dan Tangnes,Jason O'Leary,,3,82.75,17.25,0,60,5,0,5,44,2,0,2,7,42.86,10.9,3,0,3,3,100,5.1,0,0,0,12.2,100,112.2,70,54,56.45,49,39,55.68,41,32,56.16,7,1,21,6,1,15,27,30,47.37,0,3,0,0,0,6,5063
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000172' target='_blank'>2021-11-30</a>,National League,EVZ,HCAP,home,Regular Season,Dan Tangnes,Luca Cereda,,0,0,18.97,81.03,60,3,4,-1,44.3,0,4,-4,6,33.33,10.2,2,0,2,3,100,5.5,1,0,1,8.57,85.71,94.29,77,50,60.63,50,41,54.95,35,28,55.56,15,0,27,13,0,9,24,27,47.06,0,3,0,0,0,6,6541
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000167' target='_blank'>2021-11-27</a>,National League,EVZ,HCAP,away,Regular Season,Dan Tangnes,Luca Cereda,,3,21.36,2.89,75.75,60,6,4,2,49.1,6,4,2,2,0,3.3,0,0,0,4,100,7.5,0,0,0,15,83.33,98.33,69,48,58.97,53,30,63.86,40,24,62.5,11,2,16,6,0,18,31,24,56.36,0,7,0,0,0,14,6212
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000166' target='_blank'>2021-11-26</a>,National League,EVZ,SCLT,home,Regular Season,Dan Tangnes,Jason O'Leary,OT,2,56.32,43.68,0,63.3,3,2,1,43.2,1,2,-1,6,16.67,8.2,1,0,1,7,100,12,1,0,1,7.69,93.55,101.24,70,66,51.47,56,49,53.33,39,31,55.71,16,1,14,18,0,17,27,43,38.57,0,7,0,0,0,14,6807
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000160' target='_blank'>2021-11-20</a>,National League,EVZ,EHCB,home,Regular Season,Dan Tangnes,Antti Törmänen,,3,33.08,50.72,16.19,60,4,3,1,52.6,3,2,1,4,25,7,1,0,1,1,0,0.4,0,1,-1,11.76,88.46,100.23,68,50,57.63,53,37,58.89,34,26,56.67,19,0,15,11,0,13,32,27,54.24,0,2,0,0,0,4,6857
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000151' target='_blank'>2021-11-19</a>,National League,EVZ,GSHC,away,Regular Season,Dan Tangnes,Jan Cadieux,OT,2,75.02,24.98,0,63.9,4,3,1,51.6,4,2,2,2,0,4,0,0,0,5,80,8.2,0,1,-1,13.79,88.46,102.25,43,61,41.35,34,41,45.33,29,26,52.73,5,0,9,15,0,20,30,43,41.1,0,5,0,0,0,10,5681
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000098' target='_blank'>2021-11-16</a>,National League,EVZ,HCD,away,Regular Season,Dan Tangnes,Christian Wohlwend,,0,0,7.89,92.11,60,0,2,-2,46,0,2,-2,2,0,3,0,0,0,6,100,11,0,0,0,0,92.86,92.86,49,47,51.04,32,39,45.07,21,28,42.86,10,1,17,11,0,8,29,26,52.73,0,6,0,0,0,12,3381
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000148' target='_blank'>2021-11-06</a>,National League,EVZ,SCRJ,home,Regular Season,Dan Tangnes,Stefan Hedlund,,0,0,0.61,99.39,60,0,3,-3,42.8,0,3,-3,4,0,8,0,0,0,5,100,9.2,0,0,0,0,87.5,87.5,66,48,57.89,49,34,59.04,37,24,60.66,12,0,17,9,1,14,24,37,39.34,0,6,0,0,0,12,6849
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000137' target='_blank'>2021-11-05</a>,National League,EVZ,HCA,away,Regular Season,Dan Tangnes,Gary Sheehan,,3,48.36,51.64,0,60,2,0,2,54,2,0,2,1,0,2,0,0,0,2,100,4,0,0,0,5.71,100,105.71,57,53,51.82,41,30,57.75,35,19,64.81,5,1,16,11,0,23,24,22,52.17,0,2,0,0,0,4,3747
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000136' target='_blank'>2021-11-02</a>,National League,EVZ,HCL,home,Regular Season,Dan Tangnes,Chris McSorley,,3,98.44,1.56,0,60,6,1,5,39.1,3,0,3,10,30,14.6,3,1,2,4,100,6.3,0,0,0,22.22,96.43,118.65,48,62,43.64,41,41,50,27,28,49.09,12,2,7,12,1,21,31,29,51.67,1,4,0,0,0,8,6423
