"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000231' target='_blank'>2021-01-29</a>,National League,LHC,HCL,away,Regular Season,Craig MacTavish,Serge Pelletier,OT,1,52.73,47.27,0,61.7,3,4,-1,55.7,2,4,-2,0,,0,0,0,0,5,100,6,1,0,1,12,88.89,100.89,53,77,40.77,41,53,43.62,25,36,40.98,16,0,12,14,3,24,31,30,50.82,0,4,0,1,0,18,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000225' target='_blank'>2021-01-26</a>,National League,LHC,HCAP,home,Regular Season,Craig MacTavish,Luca Cereda,SO,2,43.15,56.85,0,65,2,1,1,50,1,1,0,4,0,8,0,0,0,2,100,7,0,0,0,2.86,95.45,98.31,66,47,58.41,49,36,57.65,35,22,61.4,14,0,17,14,0,11,24,38,38.71,0,1,1,0,1,27,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000130' target='_blank'>2021-01-23</a>,National League,LHC,HCD,away,Regular Season,Craig MacTavish,Christian Wohlwend,,0,20.81,60.28,18.92,60,2,3,-1,47.1,0,2,-2,4,25,6.8,1,0,1,4,75,6.1,1,1,0,6.25,90,96.25,57,68,45.6,47,46,50.54,32,30,51.61,14,1,10,15,1,22,40,27,59.7,0,4,0,2,0,28,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000217' target='_blank'>2021-01-22</a>,National League,LHC,HCAP,away,Regular Season,Craig MacTavish,Luca Cereda,,3,95.69,4.31,0,60,6,0,6,37.6,4,0,4,7,28.57,11.8,2,0,2,7,100,10.7,0,0,0,16.67,100,116.67,59,73,44.7,44,47,48.35,36,36,50,8,0,15,11,0,26,33,35,48.53,0,7,0,1,0,24,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000185' target='_blank'>2021-01-02</a>,National League,LHC,SCB,home,Regular Season,Craig MacTavish,Mario Kogler,,3,95.78,4.22,0,60,7,1,6,44.6,6,1,5,5,20,7.3,1,0,1,5,100,8.1,0,0,0,15.91,96.55,112.46,60,60,50,50,39,56.18,44,29,60.27,6,0,10,8,2,21,33,23,58.93,0,5,0,0,0,10,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000189' target='_blank'>2020-12-30</a>,National League,LHC,GSHC,away,Regular Season,Craig MacTavish,Patrick Emond,,3,42.89,31.42,25.69,60,4,1,3,33.2,3,0,3,6,16.67,11.2,1,0,1,8,87.5,15.5,0,1,-1,7.5,97.37,104.87,61,64,48.8,45,43,51.14,41,38,51.9,4,0,16,5,0,21,25,20,55.56,0,9,0,0,0,18,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000175' target='_blank'>2020-12-23</a>,National League,LHC,HCFG,away,Regular Season,Craig MacTavish,Christian Dubé,,0,0,40.86,59.14,60,2,3,-1,49.6,1,2,-1,4,25,6.1,1,0,1,4,75,4.3,0,1,-1,3.85,93.94,97.79,85,52,62.04,62,45,57.94,52,34,60.47,9,1,23,11,0,7,29,21,58,0,3,0,0,1,26,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000106' target='_blank'>2020-12-21</a>,National League,LHC,SCRJ,home,Regular Season,Craig MacTavish,Jeff Tomlinson,,3,38.06,61.06,0.89,60,5,3,2,42.3,4,3,1,5,20,9.7,1,0,1,4,100,8,0,0,0,10.26,91.18,101.43,61,58,51.26,48,45,51.61,40,34,54.05,6,2,13,11,0,13,40,22,64.52,0,4,0,0,0,8,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000173' target='_blank'>2020-12-18</a>,National League,LHC,ZSC,home,Regular Season,Craig MacTavish,Rikard Grönborg,,0,0,13,87,60,2,4,-2,49.3,1,3,-2,3,33.33,5.5,1,0,1,3,66.67,5.1,0,1,-1,6.67,88.89,95.56,59,54,52.21,47,33,58.75,30,28,51.72,17,0,12,5,0,21,22,28,44,0,5,0,1,0,20,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000138' target='_blank'>2020-12-16</a>,National League,LHC,EVZ,home,Regular Season,Craig MacTavish,Dan Tangnes,SO,2,0,35.92,64.08,65,4,3,1,45.5,1,2,-1,6,33.33,10.5,2,0,2,5,80,9.1,0,1,-1,7.5,90,97.5,63,53,54.31,46,40,53.49,40,30,57.14,6,0,17,10,0,13,36,28,56.25,0,8,0,0,0,16,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000168' target='_blank'>2020-12-15</a>,National League,LHC,EVZ,away,Regular Season,Craig MacTavish,Dan Tangnes,,0,0,18.83,81.17,60,1,4,-3,37.9,0,1,-1,7,14.29,13.2,1,0,1,6,50,8.9,0,3,-3,2.44,85.19,87.62,65,50,56.52,52,34,60.47,41,27,60.29,10,1,13,7,0,16,40,28,58.82,0,9,0,2,0,38,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000124' target='_blank'>2020-12-08</a>,National League,LHC,SCB,home,Regular Season,Craig MacTavish,Mario Kogler,,3,89.14,10.86,0,60,3,0,3,50,3,0,3,3,0,6,0,0,0,2,100,4,0,0,0,7.69,100,107.69,73,52,58.4,55,34,61.8,39,26,60,16,0,18,8,0,18,26,27,49.06,0,2,0,0,0,4,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000154' target='_blank'>2020-12-04</a>,National League,LHC,GSHC,home,Regular Season,Craig MacTavish,Patrick Emond,,0,0,25,75,60,2,3,-1,52,2,3,-1,3,0,6,0,0,0,1,100,2,0,0,0,5.13,91.67,96.79,66,51,56.41,48,38,55.81,39,36,52,9,0,18,2,0,13,37,21,63.79,1,1,0,0,0,2,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000139' target='_blank'>2020-11-28</a>,National League,LHC,HCFG,away,Regular Season,John Fust,Christian Dubé,,3,51.14,48.86,0,60,2,1,1,50,2,1,1,3,0,6,0,0,0,2,100,4,0,0,0,4.88,96.97,101.85,67,63,51.54,53,42,55.79,41,33,55.41,12,0,14,8,1,21,22,30,42.31,0,2,0,0,0,4,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000072' target='_blank'>2020-11-24</a>,National League,LHC,HCFG,home,Regular Season,Craig MacTavish,Christian Dubé,,3,89.86,10.14,0,60,6,1,5,56,6,1,5,1,0,2,0,0,0,1,100,2,0,0,0,23.08,97.62,120.7,51,81,38.64,33,53,38.37,26,42,38.24,7,0,18,11,0,28,26,31,45.61,0,1,0,0,0,2,0
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000306' target='_blank'>2020-11-01</a>,National League,LHC,HCFG,home,Regular Season,Craig MacTavish,Christian Dubé,,3,84.58,15.42,0,60,6,1,5,49.4,6,0,6,4,0,8,0,0,0,2,50,2.6,0,1,-1,11.11,95.83,106.94,88,47,65.19,64,30,68.09,54,24,69.23,10,0,24,5,1,17,35,26,57.38,0,2,0,0,0,4,50
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000089' target='_blank'>2020-10-27</a>,National League,LHC,HCL,home,Regular Season,Craig MacTavish,Serge Pelletier,OT,2,0,63.45,36.55,62.1,2,1,1,46.4,2,1,1,5,0,9.8,0,0,0,3,100,6,0,0,0,6.25,97.37,103.62,62,58,51.67,46,46,50,32,38,45.71,12,2,16,8,0,12,37,36,50.68,0,3,0,0,0,6,1000
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000082' target='_blank'>2020-10-23</a>,National League,LHC,HCAP,home,Regular Season,Craig MacTavish,Luca Cereda,,3,47.5,52.5,0,60,3,2,1,49,3,1,2,3,0,2,0,0,0,7,85.71,9,0,1,-1,9.09,93.75,102.84,59,61,49.17,43,40,51.81,33,32,50.77,10,0,16,8,0,21,24,29,45.28,0,7,0,0,0,14,4341
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000073' target='_blank'>2020-10-20</a>,National League,LHC,HCAP,away,Regular Season,Craig MacTavish,Luca Cereda,OT,2,0,89.89,10.11,62.7,3,2,1,42.5,1,0,1,5,20,8,1,0,1,8,75,12.2,1,2,-1,6.98,94.87,101.85,70,56,55.56,51,43,54.26,43,39,52.44,8,0,19,4,0,13,34,29,53.97,0,7,0,0,0,14,1496
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000066' target='_blank'>2020-10-16</a>,National League,LHC,EVZ,away,Regular Season,Craig MacTavish,Dan Tangnes,,3,68.78,31.22,0,60,3,0,3,47.3,2,0,2,2,50,2.8,1,0,1,5,100,9.9,0,0,0,8.7,100,108.7,46,69,40,35,51,40.7,24,30,44.44,11,0,11,20,1,18,30,17,63.83,0,5,0,1,0,20,2913
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000251' target='_blank'>2020-10-13</a>,National League,LHC,ZSC,away,Regular Season,Craig MacTavish,Rikard Grönborg,,0,19.67,52.03,28.31,60,1,3,-2,48,1,3,-2,3,0,6,0,0,0,3,100,6,0,0,0,3.57,91.43,95,58,61,48.74,39,49,44.32,28,35,44.44,11,0,19,14,0,12,21,30,41.18,0,5,0,0,0,10,7180
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000058' target='_blank'>2020-10-10</a>,National League,LHC,HCD,home,Regular Season,Craig MacTavish,Christian Wohlwend,,3,48.56,32.36,19.08,60,4,3,1,50.7,3,0,3,4,25,4.8,1,0,1,5,40,4.5,0,3,-3,11.76,86.96,98.72,51,48,51.52,44,29,60.27,34,23,59.65,10,0,7,5,1,19,23,32,41.82,0,5,0,0,0,10,4734
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000050' target='_blank'>2020-10-09</a>,National League,LHC,SCB,away,Regular Season,Craig MacTavish,Don Nachbaur,,3,58.44,9.94,31.61,60,4,3,1,51.2,4,3,1,2,0,3.4,0,0,0,3,100,5.4,0,0,0,15.38,92.31,107.69,43,69,38.39,34,57,37.36,26,39,40,8,0,9,18,0,12,31,26,54.39,0,3,0,0,0,6,6750
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000044' target='_blank'>2020-10-02</a>,National League,LHC,EHCB,away,Regular Season,Craig MacTavish,Lars Leuenberger,,0,0,1.97,98.03,60,0,6,-6,40.2,0,2,-2,3,0,5.9,0,0,0,11,63.64,13.9,0,4,-4,0,82.86,82.86,51,66,43.59,37,43,46.25,29,35,45.31,8,0,14,8,0,23,34,32,51.52,1,15,0,0,0,30,3777
<a href='https://www.sihf.ch/de/game-center/game/#/20211105000040' target='_blank'>2020-10-01</a>,National League,LHC,SCLT,home,Regular Season,Craig MacTavish,Rikard Franzén,,3,90.5,9.5,0,60,5,2,3,46.2,3,2,1,5,40,7.8,2,0,2,3,100,6,0,0,0,9.52,91.3,100.83,73,54,57.48,47,34,58.02,43,23,65.15,4,0,26,9,2,20,35,36,49.3,0,4,0,0,0,8,4518
