"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000336' target='_blank'>2022-03-14</a>,National League,HCFG,HCD,away,Regular Season,Christian Dubé,Christian Wohlwend,,0,0,39.81,60.19,60,0,2,-2,55.8,0,1,-1,2,0,4,0,0,0,1,0,0.2,0,1,-1,0,88.89,88.89,62,45,57.94,36,26,58.06,27,18,60,9,0,26,7,1,19,24,21,53.33,0,1,0,0,0,2,3896
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000328' target='_blank'>2022-03-12</a>,National League,HCFG,HCAP,home,Regular Season,Christian Dubé,Luca Cereda,,0,0,25.42,74.58,60,0,2,-2,46,0,0,0,6,0,11,0,1,-1,2,50,3,0,1,-1,0,94.12,94.12,78,41,65.55,47,33,58.75,30,18,62.5,16,1,31,15,0,8,24,21,53.33,0,3,0,0,0,6,8934
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000325' target='_blank'>2022-03-11</a>,National League,HCFG,LHC,away,Regular Season,Christian Dubé,John Fust,,0,0,11.19,88.81,60,0,2,-2,37,0,2,-2,4,0,7,0,0,0,7,100,16,0,0,0,0,97.73,97.73,25,84,22.94,20,60,25,16,45,26.23,4,0,5,15,0,24,21,28,42.86,0,8,1,0,1,41,9600
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000239' target='_blank'>2022-03-08</a>,National League,HCFG,HCAP,away,Regular Season,Christian Dubé,Luca Cereda,,0,0,92.86,7.14,60,1,2,-1,46.2,0,2,-2,5,20,9.3,1,0,1,3,100,4.6,0,0,0,3.23,92.86,96.08,58,61,48.74,45,41,52.33,31,28,52.54,14,0,13,11,2,20,30,26,53.57,0,3,0,0,0,6,5670
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000306' target='_blank'>2022-03-05</a>,National League,HCFG,HCL,away,Regular Season,Christian Dubé,Chris McSorley,,0,0,22.64,77.36,60,2,5,-3,54,2,5,-3,3,0,2,0,0,0,2,100,4,0,0,0,7.14,87.18,94.32,55,72,43.31,38,52,42.22,28,39,41.79,10,0,17,12,1,20,31,43,41.89,0,4,0,0,0,8,5068
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000226' target='_blank'>2022-03-02</a>,National League,HCFG,EVZ,away,Regular Season,Christian Dubé,Dan Tangnes,,0,32.86,38.19,28.94,60,3,4,-1,40.8,2,3,-1,6,16.67,8.2,1,0,1,6,83.33,11,0,1,-1,11.11,86.67,97.78,48,56,46.15,36,42,46.15,27,30,47.37,9,0,12,11,1,14,38,25,60.32,0,6,0,0,0,12,6911
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000299' target='_blank'>2022-03-01</a>,National League,HCFG,EVZ,home,Regular Season,Christian Dubé,Dan Tangnes,,3,85.61,14.39,0,60,6,2,4,52,5,1,4,1,0,2,0,1,-1,3,100,6,1,0,1,16.67,92.86,109.52,53,57,48.18,40,39,50.63,31,28,52.54,9,0,13,11,0,18,23,30,43.4,0,3,0,0,0,6,8934
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000295' target='_blank'>2022-02-26</a>,National League,HCFG,SCLT,away,Regular Season,Christian Dubé,Yves Sarault,,0,0,54.5,45.5,60,2,4,-2,49.4,2,3,-1,3,0,4.4,0,0,0,4,75,6.2,0,1,-1,8.33,90.91,99.24,48,61,44.04,34,47,41.98,24,34,41.38,10,0,14,11,2,14,25,29,46.3,0,4,0,0,0,8,5117
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000288' target='_blank'>2022-02-25</a>,National League,HCFG,GSHC,home,Regular Season,Christian Dubé,Jan Cadieux,,3,38.17,11.53,50.31,60,5,3,2,48.6,3,2,1,4,50,2.5,2,0,2,5,80,8.9,0,1,-1,13.16,88,101.16,72,49,59.5,51,38,57.3,38,25,60.32,13,0,21,12,1,11,20,29,40.82,0,6,1,0,1,37,8934
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000234' target='_blank'>2022-02-23</a>,National League,HCFG,LHC,home,Regular Season,Christian Dubé,John Fust,,3,90.39,9.61,0,60,6,3,3,46.6,6,2,4,3,0,7.9,0,0,0,3,66.67,5.5,0,1,-1,20.83,90.62,111.46,53,66,44.54,36,40,47.37,25,32,43.86,11,0,17,8,0,26,31,28,52.54,0,5,0,0,0,10,8889
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000281' target='_blank'>2022-01-28</a>,National League,HCFG,EHCB,home,Regular Season,Christian Dubé,Antti Törmänen,,3,92.64,7.36,0,60,5,3,2,51.1,4,2,2,3,33.33,4.9,1,0,1,2,50,4,0,1,-1,20,91.43,111.43,45,69,39.47,36,50,41.86,25,35,41.67,10,1,9,14,1,19,26,20,56.52,0,2,0,0,0,4,8934
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000273' target='_blank'>2022-01-27</a>,National League,HCFG,HCA,away,Regular Season,Christian Dubé,Gary Sheehan,,3,72.31,27.69,0,60,4,1,3,46.4,3,1,2,5,20,7.6,1,0,1,3,100,6,0,0,0,9.3,96.55,105.85,65,45,59.09,53,34,60.92,43,29,59.72,9,1,12,5,0,11,25,24,51.02,0,3,0,0,0,6,3148
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000271' target='_blank'>2022-01-22</a>,National League,HCFG,SCRJ,home,Regular Season,Christian Dubé,Stefan Hedlund,OT,2,23.47,55.89,20.64,61.7,3,2,1,53.5,2,1,1,3,33.33,4.8,1,0,1,3,66.67,3.4,0,1,-1,8.57,91.3,99.88,59,46,56.19,47,37,55.95,35,23,60.34,12,0,12,14,0,9,21,28,42.86,0,3,0,0,0,6,8934
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000262' target='_blank'>2022-01-21</a>,National League,HCFG,SCB,away,Regular Season,Christian Dubé,Johan Lundskog,,3,97.64,2.36,0,60,3,0,3,56,3,0,3,2,0,4,0,0,0,0,,0,0,0,0,14.29,100,114.29,48,47,50.53,34,33,50.75,21,26,44.68,12,1,14,7,0,14,20,23,46.51,0,1,0,0,0,2,13843
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000199' target='_blank'>2022-01-19</a>,National League,HCFG,GSHC,away,Regular Season,Christian Dubé,Jan Cadieux,,0,9.56,60.39,30.06,60,1,4,-3,51.6,1,3,-2,2,0,2.9,0,0,0,4,75,5.5,0,1,-1,4,90,94,43,56,43.43,33,39,45.83,25,31,44.64,6,2,10,7,1,17,24,25,48.98,0,4,0,0,0,8,4222
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000256' target='_blank'>2022-01-18</a>,National League,HCFG,SCB,home,Regular Season,Christian Dubé,Johan Lundskog,,3,48.39,51.61,0,60,3,1,2,54.6,2,1,1,2,50,3.1,1,0,1,2,100,2.3,0,0,0,10,96.67,106.67,54,68,44.26,40,45,47.06,30,30,50,9,1,14,15,0,23,26,19,57.78,0,2,0,0,0,4,8443
