"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000070' target='_blank'>2022-12-07</a>,National League,ZSC,SCRJ,home,Regular Season,Rikard Grönborg,Stefan Hedlund,,0,0,18.61,81.39,60,2,3,-1,57.5,2,1,1,1,0,2,0,0,0,2,0,0.5,0,2,-2,5.26,90,95.26,66,53,55.46,49,35,58.33,38,30,55.88,11,0,17,5,0,18,36,26,58.06,0,2,0,0,0,4,10895
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000184' target='_blank'>2022-12-04</a>,National League,ZSC,HCD,away,Regular Season,Rikard Grönborg,Christian Wohlwend,,3,48.89,35.69,15.42,60,4,1,3,48.2,3,1,2,3,0,6,0,0,0,3,100,5.8,1,0,1,8.11,96.55,104.66,67,47,58.77,52,34,60.47,38,29,56.72,13,1,15,5,0,13,31,20,60.78,0,3,0,0,0,6,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000195' target='_blank'>2022-12-03</a>,National League,ZSC,SCB,home,Regular Season,Rikard Grönborg,Toni Söderholm,OT,1,20.42,43.47,36.11,61.4,2,3,-1,49.5,1,2,-1,4,25,7.5,1,0,1,4,75,4.4,0,1,-1,6.25,91.89,98.14,50,57,46.73,38,43,46.91,32,37,46.38,5,1,12,6,0,14,24,31,43.64,0,6,0,0,0,12,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000140' target='_blank'>2022-11-30</a>,National League,ZSC,HCA,home,Regular Season,Rikard Grönborg,Filip Pesan,,3,88.94,11.06,0,60,4,2,2,52,1,2,-1,3,100,4,3,0,3,2,100,4,0,0,0,11.11,91.3,102.42,71,59,54.62,53,32,62.35,36,23,61.02,15,2,18,8,1,27,27,17,61.36,0,2,0,0,0,4,10013
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000179' target='_blank'>2022-11-29</a>,National League,ZSC,HCFG,away,Regular Season,Rikard Grönborg,Christian Dubé,,3,23.64,76.36,0,60,2,0,2,50,2,0,2,1,0,2,0,0,0,4,100,8,0,0,0,4.35,100,104.35,39,66,37.14,32,41,43.84,24,25,48.98,7,1,7,15,1,25,29,35,45.31,0,5,0,0,0,10,8878
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000168' target='_blank'>2022-11-27</a>,National League,ZSC,EVZ,away,Regular Season,Rikard Grönborg,Dan Tangnes,,3,83.53,16.47,0,60,6,4,2,52,5,2,3,3,33.33,4.4,1,0,1,3,33.33,3.6,0,2,-2,30,86.21,116.21,49,60,44.95,33,45,42.31,20,29,40.82,12,1,16,15,1,15,36,20,64.29,0,4,0,0,0,8,6850
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000175' target='_blank'>2022-11-26</a>,National League,ZSC,HCAP,home,Regular Season,Rikard Grönborg,Luca Cereda,,3,64.89,20.81,14.31,60,4,2,2,51.2,2,1,1,4,50,4.4,2,0,2,3,66.67,4.5,0,1,-1,14.29,93.94,108.23,51,61,45.54,43,45,48.86,28,33,45.9,14,1,8,10,2,16,31,38,44.93,0,5,0,0,0,10,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000034' target='_blank'>2022-11-19</a>,National League,ZSC,HCD,home,Regular Season,Rikard Grönborg,Christian Wohlwend,SO,2,76.87,23.13,0,65,4,3,1,61,3,3,0,2,0,4,0,0,0,0,,0,0,0,0,10.34,91.67,102.01,58,68,46.03,43,51,45.74,29,36,44.62,14,0,15,15,0,17,44,30,59.46,0,0,0,0,0,0,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000142' target='_blank'>2022-11-05</a>,National League,ZSC,SCB,away,Regular Season,Rikard Grönborg,Johan Lundskog,,0,21.22,62.97,15.81,60,3,4,-1,47.8,3,3,0,3,0,6,0,0,0,4,75,6.2,0,1,-1,9.38,86.67,96.04,67,51,56.78,45,42,51.72,32,30,51.61,13,0,22,12,0,9,33,29,53.23,0,6,0,0,0,12,14411
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000323' target='_blank'>2022-11-03</a>,National League,ZSC,HCA,away,Regular Season,Rikard Grönborg,Filip Pesan,,3,52.25,45.36,2.39,60,6,3,3,44.6,3,2,1,4,50,8.6,2,0,2,4,75,6.8,1,1,0,16.13,92.11,108.23,57,56,50.44,40,43,48.19,32,38,45.71,6,2,17,4,1,13,28,26,51.85,0,4,0,0,0,8,3297
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000128' target='_blank'>2022-11-01</a>,National League,ZSC,EHCB,away,Regular Season,Rikard Grönborg,Antti Törmänen,,0,1.97,43.56,54.47,60,4,5,-1,46.6,4,3,1,4,0,8,0,0,0,5,60,5.3,0,2,-2,8.89,85.29,94.18,68,60,53.12,56,45,55.45,45,34,56.96,9,2,12,10,1,15,34,34,50,0,4,0,1,0,18,5140
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000118' target='_blank'>2022-10-30</a>,National League,ZSC,LHC,home,Regular Season,Rikard Grönborg,John Fust,OT,2,0,14.46,85.54,64,5,4,1,50.7,2,2,0,8,37.5,10.3,3,0,3,3,33.33,2.9,0,2,-2,10.64,80,90.64,82,35,70.09,64,27,70.33,47,20,70.15,17,0,18,6,1,8,36,24,60,0,3,0,0,0,6,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000122' target='_blank'>2022-10-29</a>,National League,ZSC,HCD,away,Regular Season,Rikard Grönborg,Christian Wohlwend,,3,92.06,7.94,0,60,5,0,5,49,5,0,5,2,0,4,0,0,0,3,100,7,0,0,0,15.62,100,115.62,57,61,48.31,39,44,46.99,32,30,51.61,6,1,18,13,1,17,32,30,51.61,0,4,1,0,0,13,5056
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000112' target='_blank'>2022-10-25</a>,National League,ZSC,HCL,home,Regular Season,Rikard Grönborg,Luca Gianinazzi,,3,37.72,62.28,0,60,6,3,3,46.8,4,3,1,6,33.33,6.2,2,0,2,4,100,6.9,0,0,0,13.04,88.46,101.51,80,44,64.52,70,38,64.81,46,26,63.89,22,2,10,12,0,6,30,32,48.39,0,4,0,0,0,8,10687
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000102' target='_blank'>2022-10-22</a>,National League,ZSC,EHCK,away,Regular Season,Rikard Grönborg,Tomlinson Jeff,,0,0,78.08,21.92,60,1,2,-1,45.5,1,1,0,3,0,6,0,0,0,5,80,8.5,0,1,-1,3.7,93.33,97.04,69,53,56.56,36,36,50,27,30,47.37,7,2,33,6,0,17,28,25,52.83,0,9,0,0,0,18,7312
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000097' target='_blank'>2022-10-21</a>,National League,ZSC,SCLT,home,Regular Season,Rikard Grönborg,Thierry Paterlini,,3,87.78,12.22,0,60,4,0,4,49,2,0,2,3,66.67,5,2,0,2,3,100,6,0,0,0,8.7,100,108.7,76,32,70.37,57,20,74.03,46,16,74.19,11,0,19,4,0,12,37,27,57.81,0,3,0,0,0,6,10660
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000091' target='_blank'>2022-10-18</a>,National League,ZSC,HCFG,home,Regular Season,Rikard Grönborg,Christian Dubé,,3,86.03,13.97,0,60,2,1,1,44.5,0,0,0,5,40,6.8,2,0,2,5,80,8.7,0,1,-1,7.69,96.97,104.66,60,63,48.78,47,51,47.96,26,33,44.07,20,1,13,18,0,12,28,19,59.57,0,6,0,0,0,12,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000079' target='_blank'>2022-10-15</a>,National League,ZSC,HCAP,away,Regular Season,Rikard Grönborg,Luca Cereda,SO,2,0,27.69,72.31,65,3,2,1,51,2,2,0,2,0,4,0,0,0,5,100,10,0,0,0,5.71,93.33,99.05,70,56,55.56,48,44,52.17,35,30,53.85,12,1,22,13,1,12,42,29,59.15,0,7,0,0,0,14,6601
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000059' target='_blank'>2022-10-07</a>,National League,ZSC,GSHC,away,Regular Season,Rikard Grönborg,Jan Cadieux,,0,0,48.22,51.78,60,2,3,-1,53.2,2,2,0,1,0,2,0,0,0,3,66.67,4.8,0,1,-1,7.41,91.67,99.07,57,58,49.57,30,42,41.67,27,36,42.86,3,0,27,6,0,16,24,34,41.38,0,5,0,0,0,10,6301
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000043' target='_blank'>2022-09-30</a>,National League,ZSC,HCA,away,Regular Season,Rikard Grönborg,Filip Pesan,,3,48.36,51.64,0,60,4,0,4,48.4,3,0,3,3,33.33,5.6,1,0,1,3,100,6,0,0,0,14.81,100,114.81,51,48,51.52,35,35,50,27,27,50,8,0,16,8,0,13,28,30,48.28,0,3,0,0,0,6,4058
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000212' target='_blank'>2022-09-27</a>,National League,ZSC,EHCB,away,Regular Season,Rikard Grönborg,Antti Törmänen,,3,61.17,38.83,0,60,4,1,3,49.2,2,1,1,4,50,4.4,2,0,2,4,100,6.4,0,0,0,13.79,97.3,111.09,42,63,40,32,43,42.67,29,37,43.94,2,1,10,6,0,20,29,32,47.54,0,5,0,0,0,10,4937
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000027' target='_blank'>2022-09-25</a>,National League,ZSC,LHC,away,Regular Season,Rikard Grönborg,John Fust,,3,26.58,56.97,16.44,60,5,1,4,47.5,4,1,3,6,16.67,8.5,1,0,1,2,100,4,0,0,0,13.16,96.3,109.45,68,49,58.12,50,39,56.18,38,27,58.46,11,1,18,10,2,10,29,24,54.72,0,2,0,0,0,4,5867
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000019' target='_blank'>2022-09-20</a>,National League,ZSC,HCL,away,Regular Season,Rikard Grönborg,Chris McSorley,,3,29.81,70.19,0,60,1,0,1,45.5,1,0,1,4,0,8,0,0,0,4,100,6.4,0,0,0,2.94,100,102.94,59,57,50.86,47,44,51.65,34,32,51.52,13,0,12,11,1,13,39,27,59.09,0,5,0,0,0,10,4836
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000007' target='_blank'>2022-09-16</a>,National League,ZSC,SCLT,away,Regular Season,Rikard Grönborg,Thierry Paterlini,OT,1,8.76,91.24,0,60.5,1,2,-1,39.5,1,2,-1,5,0,13,0,0,0,4,100,8,0,0,0,2.38,93.1,95.48,72,44,62.07,47,30,61.04,42,29,59.15,5,0,25,1,0,14,36,26,58.06,0,7,0,0,0,14,4391
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000159' target='_blank'>2022-09-14</a>,National League,ZSC,SCRJ,away,Regular Season,Rikard Grönborg,Stefan Hedlund,,0,0,3.72,96.28,60,1,4,-3,49.6,1,3,-2,4,0,6.1,0,0,0,3,66.67,4.3,0,1,-1,4.55,84.62,89.16,49,59,45.37,35,39,47.3,22,26,45.83,11,2,14,12,1,20,39,31,55.71,0,4,0,0,0,8,5011
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000417' target='_blank'>2022-05-01</a>,National League,ZSC,EVZ,away,Playoffs,Rikard Grönborg,Dan Tangnes,,0,27.56,28.58,43.86,60,1,3,-2,56.8,1,1,0,1,0,2,0,0,0,2,0,1.2,0,2,-2,3.57,91.3,94.88,61,48,55.96,40,31,56.34,28,24,53.85,11,1,21,7,0,17,40,23,63.49,0,3,0,0,0,6,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000416' target='_blank'>2022-04-29</a>,National League,ZSC,EVZ,home,Playoffs,Rikard Grönborg,Dan Tangnes,,0,0,5.42,94.58,60,0,2,-2,50.3,0,1,-1,3,0,6,0,0,0,2,50,3.7,0,1,-1,0,90.48,90.48,72,40,64.29,50,31,61.73,36,21,63.16,13,1,22,10,0,9,27,19,58.7,0,2,0,0,0,4,11200
<a href='https://www.sihf.ch/de/game-center/game/#/20221105000415' target='_blank'>2022-04-27</a>,National League,ZSC,EVZ,away,Playoffs,Rikard Grönborg,Dan Tangnes,,0,11.89,73.56,14.56,60,1,4,-3,47,1,3,-2,2,0,4,0,1,-1,4,100,9,0,0,0,3.7,93.55,97.25,58,78,42.65,39,44,46.99,27,33,45,11,1,19,10,1,34,27,29,48.21,0,3,1,0,1,31,7200
